EDAR;Date;cases;N1 gc/l;HAdV gc/l;flow 24h;N1 total;HAdV total;N1/HAdV;N1 total log;cases log;HAdV log
DTRS;2020-07-27;126;1,82E+04;1,26E+04;4,02E+04;7,32E+11;5,05E+11;1,45;11,8644733;2,100370545;11,70363627
DTRS;2020-07-20;52;5,78E+04;1,06E+04;1,70E+03;9,80E+10;1,79E+10;5,47;10,99138347;1,716003344;10,25327936
DTRS;2020-07-13;32;2,22E+04;6,91E+03;4,48E+04;9,96E+11;3,09E+11;3,22;11,99815821;1,505149978;11,49033544
DTRS;2020-07-06;17;6,10E+02;9,56E+03;3,87E+04;2,36E+10;3,70E+11;0,06;10,37287844;1,230448921;11,56837881
DVIC;2020-10-26;464;1,41E+05;3,60E+05;3,28E+04;4,64E+12;1,18E+13;0,39;12,66681856;2,666517981;
DVIC;2020-10-19;282;2,32E+04;1,73E+05;2,02E+04;4,68E+11;3,49E+12;0,13;11,6700385;2,450249108;
DVIC;2020-10-12;281;1,74E+04;1,98E+04;2,30E+04;4,01E+11;4,54E+11;0,88;11,60267243;2,44870632;
DVIC;2020-10-05;174;2,28E+04;7,61E+04;2,35E+04;5,36E+11;1,79E+12;0,30;11,72946332;2,240549248;
DVIC;2020-09-28;129;2,46E+04;;2,81E+04;6,93E+11;0,00E+00;;11,84056996;2,11058971;
DVIC;2020-09-21;121;1,56E+04;3,72E+04;2,39E+04;3,72E+11;8,89E+11;0,42;11,57012505;2,08278537;
DVIC;2020-09-14;75;1,13E+03;5,12E+04;2,16E+04;2,44E+10;1,11E+12;0,02;10,38789218;1,875061263;
DVIC;2020-09-07;77;2,22E+04;4,18E+03;2,64E+04;5,87E+11;1,10E+11;5,32;11,76899223;1,886490725;
DVIC;2020-08-31;114;8,39E+04;5,86E+03;2,79E+04;2,34E+12;1,64E+11;14,31;12,36953926;2,056904851;
DVIC;2020-08-24;65;4,71E+04;4,43E+04;1,96E+04;9,24E+11;8,69E+11;1,06;11,96562669;1,812913357;
DVIC;2020-08-17;66;1,90E+04;2,09E+03;2,05E+04;3,88E+11;4,27E+10;9,09;11,58923278;1,819543936;
DVIC;2020-08-10;58;6,92E+03;1,37E+04;2,49E+04;1,72E+11;3,41E+11;0,51;11,2367053;1,763427994;
DVIC;2020-08-03;50;1,98E+03;6,62E+03;2,06E+04;4,08E+10;1,37E+11;0,30;10,61061534;1,698970004;
DVIC;2020-07-27;39;3,64E+03;1,98E+03;2,06E+04;7,51E+10;4,09E+10;1,84;10,87555028;1,591064607;
DVIC;2020-07-20;30;1,53E+03;3,94E+04;1,97E+04;3,01E+10;7,75E+11;0,04;10,47839329;1,477121255;
DVIC;2020-07-13;7;7,14E+02;7,86E+03;2,31E+04;1,65E+10;1,81E+11;0,09;10,21699746;0,84509804;
DVLG;2020-10-19;152;3,63E+04;9,97E+03;1,64E+04;5,95E+11;1,63E+11;3,64;11,7742962;2,181843588;11,21303504
DVLG;2020-10-12;82;2,03E+04;2,72E+04;1,50E+04;3,05E+11;4,09E+11;0,75;11,48436811;1,913813852;11,61203097
DVLG;2020-10-05;82;1,29E+04;1,68E+04;1,47E+04;1,90E+11;2,47E+11;0,77;11,27783855;1,913813852;11,39201543
DVLG;2020-09-28;40;1,81E+03;;1,67E+04;3,03E+10;;;10,48214721;1,602059991;#NUM!
DVLG;2020-09-21;55;2,26E+03;1,73E+04;1,70E+04;3,84E+10;2,93E+11;0,13;10,58414752;1,740362689;11,46709923
DVLG;2020-09-14;50;3,21E+02;8,04E+04;1,64E+04;5,29E+09;1,32E+12;0,00;9,723067465;1,698970004;12,12125466
DVLG;2020-09-07;44;1,11E+04;1,41E+03;2,12E+04;2,35E+11;2,99E+10;7,86;11,37062496;1,643452676;10,47514116
DVLG;2020-08-31;71;1,23E+03;2,67E+03;1,61E+04;1,99E+10;4,30E+10;0,46;10,29851866;1,851258349;10,63369477
DVLG;2020-08-24;52;1,46E+03;2,92E+04;1,60E+04;2,34E+10;4,68E+11;0,05;10,36893148;1,716003344;11,66986934
DVLG;2020-08-17;42;7,81E+03;5,36E+03;1,57E+04;1,22E+11;8,39E+10;1,46;11,08732373;1,62324929;10,92371437
DVLG;2020-08-10;29;2,39E+04;3,40E+04;1,57E+04;3,75E+11;5,32E+11;0,70;11,57346517;1,462397998;11,72623048
DVLG;2020-08-03;35;1,90E+04;6,52E+04;1,68E+04;3,19E+11;1,10E+12;0,29;11,50429273;1,544068044;12,03954127
DVLG;2020-07-27;13;1,13E+03;1,08E+04;1,63E+04;1,84E+10;1,76E+11;0,10;10,26470012;1,113943352;11,24461101
DVLG;2020-07-20;36;3,36E+03;2,84E+04;1,56E+04;5,23E+10;4,42E+11;0,12;10,71849196;1,556302501;11,64501821
DVLG;2020-07-13;19;2,73E+04;6,75E+04;1,59E+04;4,35E+11;1,08E+12;0,40;11,63848973;1,278753601;12,03157703
DVLG;2020-07-06;16;6,53E+02;5,48E+03;1,69E+04;1,10E+10;9,26E+10;0,12;10,04286549;1,204119983;10,96664382
DBLN;2020-10-19;74;6,00E+04;3,95E+04;7,46E+03;4,47E+11;2,95E+11;1,52;11,65034585;1,86923172;11,46929173
DBLN;2020-10-05;25;4,95E+03;7,06E+04;7,95E+03;3,93E+10;5,61E+11;0,07;10,5946906;1,397940009;11,74888329
DBLN;2020-09-21;52;3,88E+03;7,10E+04;9,43E+03;3,66E+10;6,69E+11;0,05;10,56295075;1,716003344;11,82559794
DBLN;2020-09-07;39;2,71E+04;1,49E+04;9,70E+03;2,63E+11;1,45E+11;1,82;11,42021821;1,591064607;11,16070739
DBLN;2020-08-24;19;1,49E+03;2,55E+04;1,01E+04;1,51E+10;2,58E+11;0,06;10,17965452;1,278753601;11,41181296
DBLN;2020-08-10;10;4,64E+04;1,18E+04;1,08E+04;5,02E+11;1,27E+11;3,94;11,70047695;1;11,10513941
DBLN;2020-07-27;26;2,86E+03;1,89E+04;9,58E+03;2,74E+10;1,81E+11;0,15;10,43848342;1,414973348;11,25760745
DBLN;2020-07-13;2;1,31E+04;1,79E+03;9,39E+03;1,23E+11;1,68E+10;7,34;11,09083854;0,301029996;10,22494035
DCPA;2020-10-12;49;4,83E+04;4,50E+04;8,68E+03;4,20E+11;3,91E+11;1,07;11,62293397;1,69019608;
DCPA;2020-09-28;36;3,08E+03;;8,29E+03;2,55E+10;0,00E+00;;10,40721075;1,556302501;
DCPA;2020-09-14;49;3,25E+04;2,80E+05;1,15E+04;3,74E+11;3,22E+12;0,12;11,573331;1,69019608;
